method,kind,parameter,mean,std,min,max
meta_sgd,learning_rate,features.0.weight,0.16878752410411835,0.11476940661668777,-0.05144517123699188,0.4011760652065277
meta_sgd,learning_rate,features.0.bias,0.07004506140947342,0.13693282008171082,-0.13682503998279572,0.4003782868385315
meta_sgd,learning_rate,features.3.weight,0.2462785542011261,0.11127918213605881,-0.07423403114080429,0.44368985295295715
meta_sgd,learning_rate,features.3.bias,0.1500689685344696,0.12307588756084442,-0.04467472434043884,0.4079296290874481
meta_sgd,learning_rate,features.6.weight,0.3526635766029358,0.06221398711204529,0.1174636036157608,0.5216832160949707
meta_sgd,learning_rate,features.6.bias,0.2449737787246704,0.06972313672304153,0.1023263931274414,0.41076207160949707
meta_sgd,learning_rate,features.9.weight,0.41364380717277527,0.05429111421108246,0.1571543961763382,0.6698436737060547
meta_sgd,learning_rate,features.9.bias,0.25253310799598694,0.07520022243261337,0.08320827037096024,0.41190746426582336
meta_sgd,learning_rate,classifier.weight,0.46257105469703674,0.06245456635951996,0.2795864939689636,0.6176170706748962
meta_sgd,learning_rate,classifier.bias,0.10443471372127533,0.024306220933794975,0.061647750437259674,0.1295945793390274
