method,kind,parameter,mean,std,min,max
meta_l2,l2_coefficient,features.0.weight,8.017657819436863e-05,0.0,8.017657819436863e-05,8.017657819436863e-05
meta_l2,l2_coefficient,features.3.weight,9.650037827668712e-05,0.0,9.650037827668712e-05,9.650037827668712e-05
meta_l2,l2_coefficient,features.6.weight,9.626397513784468e-05,0.0,9.626397513784468e-05,9.626397513784468e-05
meta_l2,l2_coefficient,features.9.weight,9.597981261322275e-05,0.0,9.597981261322275e-05,9.597981261322275e-05
meta_l2,l2_coefficient,classifier.weight,7.882482896093279e-05,0.0,7.882482896093279e-05,7.882482896093279e-05
