method,kind,parameter,mean,std,min,max
meta_sgd,learning_rate,features.0.weight,0.15776583552360535,0.130652517080307,-0.06719902902841568,0.4000000059604645
meta_sgd,learning_rate,features.0.bias,0.06276404112577438,0.1523359715938568,-0.08009582757949829,0.4000000059604645
meta_sgd,learning_rate,features.3.weight,0.2515380084514618,0.1311875879764557,-0.1098460853099823,0.44172200560569763
meta_sgd,learning_rate,features.3.bias,0.15918445587158203,0.1409137099981308,-0.07077472656965256,0.41594457626342773
meta_sgd,learning_rate,features.6.weight,0.35548293590545654,0.06447241455316544,0.06262972205877304,0.5917271375656128
meta_sgd,learning_rate,features.6.bias,0.2493128478527069,0.07154321670532227,0.11842640489339828,0.41575199365615845
meta_sgd,learning_rate,features.9.weight,0.41959667205810547,0.05279901623725891,0.1754838228225708,0.6891458630561829
meta_sgd,learning_rate,features.9.bias,0.2564004957675934,0.08438828587532043,0.09458380937576294,0.44662460684776306
meta_sgd,learning_rate,classifier.weight,0.45424970984458923,0.06828033179044724,0.3001798689365387,0.6443340182304382
meta_sgd,learning_rate,classifier.bias,0.12154189497232437,0.035677697509527206,0.07366134971380234,0.17491286993026733
