episode,method,train_query_loss,train_query_accuracy
1,fixed_l2,1.6117537021636963,0.20000000298023224
2,fixed_l2,1.612557053565979,0.20000000298023224
3,fixed_l2,1.610028862953186,0.20000000298023224
4,fixed_l2,1.6090754270553589,0.20000000298023224
5,fixed_l2,1.6059356927871704,0.20000000298023224
6,fixed_l2,1.6046972274780273,0.27000001072883606
7,fixed_l2,1.6029804944992065,0.25999999046325684
8,fixed_l2,1.6074540615081787,0.19999998807907104
9,fixed_l2,1.600124716758728,0.2199999988079071
10,fixed_l2,1.6023473739624023,0.2199999988079071
11,fixed_l2,1.5997843742370605,0.25
12,fixed_l2,1.5880732536315918,0.20000000298023224
13,fixed_l2,1.5945508480072021,0.25999999046325684
14,fixed_l2,1.5988562107086182,0.2600000202655792
15,fixed_l2,1.5854402780532837,0.25999999046325684
16,fixed_l2,1.581898808479309,0.22999998927116394
17,fixed_l2,1.5684646368026733,0.25
18,fixed_l2,1.5551146268844604,0.23000000417232513
19,fixed_l2,1.5718168020248413,0.30000001192092896
20,fixed_l2,1.5609604120254517,0.24000000953674316
21,fixed_l2,1.5795528888702393,0.20000000298023224
22,fixed_l2,1.577585220336914,0.2199999988079071
23,fixed_l2,1.5879395008087158,0.3099999725818634
24,fixed_l2,1.5574582815170288,0.25999999046325684
25,fixed_l2,1.5695528984069824,0.2800000011920929
26,fixed_l2,1.5567482709884644,0.2199999988079071
27,fixed_l2,1.5616157054901123,0.23999999463558197
28,fixed_l2,1.5174124240875244,0.27000001072883606
29,fixed_l2,1.5428197383880615,0.36000001430511475
30,fixed_l2,1.551430106163025,0.24000000953674316
31,fixed_l2,1.5463184118270874,0.24000000953674316
32,fixed_l2,1.5407224893569946,0.20000000298023224
33,fixed_l2,1.5091224908828735,0.32999998331069946
34,fixed_l2,1.598703145980835,0.20000000298023224
35,fixed_l2,1.5710245370864868,0.25999999046325684
36,fixed_l2,1.5583957433700562,0.30000001192092896
37,fixed_l2,1.5384689569473267,0.2900000214576721
38,fixed_l2,1.551138997077942,0.2800000011920929
39,fixed_l2,1.537945032119751,0.3499999940395355
40,fixed_l2,1.5461500883102417,0.3199999928474426
41,fixed_l2,1.5183697938919067,0.4099999666213989
42,fixed_l2,1.5364147424697876,0.2800000011920929
43,fixed_l2,1.4946093559265137,0.4699999988079071
