method,kind,parameter,mean,std,min,max
meta_sgd,learning_rate,features.0.weight,0.11414994299411774,0.12109824270009995,-0.12008599936962128,0.4000000059604645
meta_sgd,learning_rate,features.0.bias,0.017915621399879456,0.13555359840393066,-0.15547698736190796,0.4000000059604645
meta_sgd,learning_rate,features.3.weight,0.26390185952186584,0.13611404597759247,-0.11430544406175613,0.4996548295021057
meta_sgd,learning_rate,features.3.bias,0.2013377696275711,0.16956326365470886,-0.033012449741363525,0.4091646075248718
meta_sgd,learning_rate,features.6.weight,0.36413273215293884,0.0578794851899147,0.05546880140900612,0.5320101976394653
meta_sgd,learning_rate,features.6.bias,0.2629428505897522,0.07790866494178772,0.13119378685951233,0.4190961420536041
meta_sgd,learning_rate,features.9.weight,0.41377928853034973,0.05352524295449257,0.15967398881912231,0.6698352098464966
meta_sgd,learning_rate,features.9.bias,0.25726592540740967,0.08085455745458603,0.11776303499937057,0.4113163948059082
meta_sgd,learning_rate,classifier.weight,0.464061439037323,0.06225675716996193,0.3280738890171051,0.6104037761688232
meta_sgd,learning_rate,classifier.bias,0.11409197002649307,0.006394078489392996,0.1081145778298378,0.12553900480270386
