method,test_accuracy_mean,test_accuracy_ci95,test_loss_mean
maml,0.5988000007718801,0.019975868106279028,1.003713473379612
meta_sgd,0.6018000012636184,0.0199324297216982,0.9936776167154312
fixed_l2,0.5918000025302171,0.0188246776860013,1.0193296344578266
meta_l2,0.6034000030905008,0.019290476385708948,1.0053506289422511
