method,kind,parameter,mean,std,min,max
meta_l2,l2_coefficient,features.0.weight,7.49378014006652e-05,0.0,7.49378014006652e-05,7.49378014006652e-05
meta_l2,l2_coefficient,features.3.weight,9.572761337039992e-05,0.0,9.572761337039992e-05,9.572761337039992e-05
meta_l2,l2_coefficient,features.6.weight,9.536324796499684e-05,0.0,9.536324796499684e-05,9.536324796499684e-05
meta_l2,l2_coefficient,features.9.weight,9.517790749669075e-05,0.0,9.517790749669075e-05,9.517790749669075e-05
meta_l2,l2_coefficient,classifier.weight,7.20550597179681e-05,0.0,7.20550597179681e-05,7.20550597179681e-05
