method,test_accuracy_mean,test_accuracy_ci95,test_loss_mean
maml,0.6280000010132789,0.019147623745432395,0.9278215283155441
meta_sgd,0.6562000001966953,0.018525315431304545,0.8960271807014942
fixed_l2,0.6496000012755394,0.018442955617580917,0.8914609552919864
meta_l2,0.6288000027835369,0.01854250147939951,0.9153293910622596
