mode,algorithm,create_graph,first_order,inner_update,inner_steps,meta_batch,step,shots,queries,unlabeled_per_task,ssl_weight,pseudo_noise,outer_lr,inner_lr,min_meta_lr,clamp_meta_lr,inner_loss,support_loss,ssl_loss,meta_loss,val_query_loss,val_rmse,best_val_query_loss,grad_norm,elapsed_sec,avg_step_time_sec,start_process_memory_mb,end_process_memory_mb,peak_observed_process_memory_mb,cuda_peak_memory_mb,meta_lr_mean,meta_lr_min,meta_lr_max,meta_lr_nonpositive_count
second-order,maml,True,False,semi-supervised,1,2,2,5,10,10,0.2,0.1,0.001,0.01,1e-06,0.2,2.457388587296009,2.088366277515888,1.8451120182871819,2.05456805229187,4.9576171189546585,2.2265707082764425,3.247720815241337,3.7885681920004255,0.17534219997469336,0.08767109998734668,106.01171875,115.140625,115.140625,,,,,
fomaml,maml,False,True,semi-supervised,1,2,2,5,10,10,0.2,0.1,0.001,0.01,1e-06,0.2,2.4538937509059906,2.0852040126919746,1.8434488028287888,2.0501043796539307,4.96301656961441,2.227782882063333,3.2548919282853603,4.970415582471584,0.010721199912950397,0.005360599956475198,116.01953125,116.02734375,116.02734375,,,,,
