episode,method,train_query_loss,train_query_accuracy
1,maml,1.6124078035354614,0.20000000298023224
2,maml,1.6115155220031738,0.20000000298023224
3,maml,1.611398458480835,0.20000000298023224
4,maml,1.6080740690231323,0.20000000298023224
5,maml,1.610290288925171,0.20000000298023224
6,maml,1.6079223155975342,0.24000000953674316
7,maml,1.605802297592163,0.23000000417232513
8,maml,1.6024880409240723,0.25
9,maml,1.6027051210403442,0.20000000298023224
10,maml,1.6049253940582275,0.22999998927116394
11,maml,1.5990655422210693,0.23999999463558197
12,maml,1.6058095693588257,0.24000000953674316
13,maml,1.5928832292556763,0.22999998927116394
14,maml,1.6057853698730469,0.1899999976158142
15,maml,1.598290205001831,0.23000000417232513
16,maml,1.5925265550613403,0.20999999344348907
17,maml,1.605277180671692,0.18000000715255737
18,maml,1.5819227695465088,0.3199999928474426
19,maml,1.583595633506775,0.3100000023841858
20,maml,1.595011591911316,0.2199999988079071
21,maml,1.602949857711792,0.17000000178813934
22,maml,1.5877963304519653,0.24000000953674316
23,maml,1.5932646989822388,0.25999999046325684
24,maml,1.5717644691467285,0.3100000023841858
25,maml,1.5791702270507812,0.21000000834465027
26,maml,1.5835065841674805,0.22999998927116394
27,maml,1.583176612854004,0.20999999344348907
28,maml,1.565180778503418,0.2499999850988388
29,maml,1.5725924968719482,0.23999999463558197
30,maml,1.551233172416687,0.23999999463558197
31,maml,1.556777834892273,0.23000000417232513
32,maml,1.5737519264221191,0.25
33,maml,1.554100751876831,0.23999999463558197
34,maml,1.5217710733413696,0.2800000011920929
35,maml,1.5249322652816772,0.25
36,maml,1.5739789009094238,0.22999998927116394
37,maml,1.5311648845672607,0.3400000035762787
38,maml,1.5285989046096802,0.3100000023841858
39,maml,1.5872231721878052,0.2499999850988388
40,maml,1.4912900924682617,0.2199999988079071
41,maml,1.510231375694275,0.36000001430511475
42,maml,1.5367040634155273,0.2600000202655792
43,maml,1.5377476215362549,0.33000001311302185
44,maml,1.5299062728881836,0.3100000023841858
45,maml,1.5128326416015625,0.27000001072883606
46,maml,1.5101155042648315,0.3799999952316284
47,maml,1.494091272354126,0.3100000023841858
48,maml,1.495779275894165,0.28999999165534973
49,maml,1.5519368648529053,0.3700000047683716
50,maml,1.4349148273468018,0.42000001668930054
51,maml,1.5470430850982666,0.2600000202655792
52,maml,1.4621083736419678,0.3500000238418579
53,maml,1.479799509048462,0.3799999952316284
54,maml,1.4731647968292236,0.3499999940395355
55,maml,1.455249309539795,0.40000003576278687
56,maml,1.4386547803878784,0.3400000035762787
57,maml,1.4659851789474487,0.25
58,maml,1.549359679222107,0.2800000011920929
59,maml,1.4794764518737793,0.4000000059604645
60,maml,1.4956235885620117,0.3400000035762787
61,maml,1.4937045574188232,0.3100000023841858
62,maml,1.4920803308486938,0.35999998450279236
63,maml,1.4878240823745728,0.3500000238418579
64,maml,1.4615097045898438,0.4699999988079071
65,maml,1.4960461854934692,0.30000001192092896
66,maml,1.4676493406295776,0.4300000071525574
67,maml,1.5573554039001465,0.2800000011920929
68,maml,1.4514323472976685,0.3700000047683716
69,maml,1.4175955057144165,0.3400000035762787
70,maml,1.4639489650726318,0.35999998450279236
71,maml,1.5239535570144653,0.3400000035762787
72,maml,1.559675693511963,0.2900000214576721
73,maml,1.4724572896957397,0.3800000250339508
74,maml,1.429072618484497,0.3799999952316284
75,maml,1.460961103439331,0.33000001311302185
76,maml,1.4705854654312134,0.4700000286102295
77,maml,1.4495373964309692,0.3700000047683716
78,maml,1.414865255355835,0.41999998688697815
79,maml,1.4455841779708862,0.3400000035762787
80,maml,1.488830327987671,0.3400000035762787
81,maml,1.4539414644241333,0.3499999940395355
82,maml,1.5554229021072388,0.30000001192092896
83,maml,1.404857873916626,0.4399999976158142
84,maml,1.5237210988998413,0.3400000333786011
85,maml,1.3989837169647217,0.4100000262260437
86,maml,1.3949333429336548,0.4099999964237213
87,maml,1.485292673110962,0.2800000011920929
88,maml,1.4603440761566162,0.3399999737739563
89,maml,1.4664907455444336,0.42000001668930054
90,maml,1.40420663356781,0.42000001668930054
91,maml,1.4301021099090576,0.33000001311302185
92,maml,1.3729934692382812,0.41999998688697815
93,maml,1.439680576324463,0.429999977350235
94,maml,1.5091816186904907,0.3199999928474426
95,maml,1.3941256999969482,0.38999998569488525
96,maml,1.3364691734313965,0.5299999713897705
97,maml,1.4713358879089355,0.3700000047683716
98,maml,1.4259092807769775,0.44999998807907104
99,maml,1.3827006816864014,0.4399999976158142
100,maml,1.4585708379745483,0.3400000035762787
101,maml,1.453033685684204,0.3400000035762787
102,maml,1.3525458574295044,0.5099999904632568
103,maml,1.3165292739868164,0.46000000834465027
104,maml,1.331251621246338,0.44999998807907104
105,maml,1.4559334516525269,0.4000000059604645
106,maml,1.3221732378005981,0.3999999761581421
107,maml,1.240133285522461,0.5700000524520874
108,maml,1.2663464546203613,0.5099999904632568
109,maml,1.1675301790237427,0.5300000309944153
110,maml,1.4445414543151855,0.41999998688697815
111,maml,1.4018008708953857,0.39000001549720764
112,maml,1.1839791536331177,0.5
113,maml,1.3318133354187012,0.3799999952316284
114,maml,1.2604825496673584,0.47999998927116394
115,maml,1.347099781036377,0.3999999761581421
116,maml,1.1085660457611084,0.6200000047683716
117,maml,1.193312644958496,0.48000001907348633
118,maml,1.2120472192764282,0.550000011920929
119,maml,1.302896499633789,0.4000000059604645
120,maml,1.3116750717163086,0.3999999761581421
121,maml,1.2388437986373901,0.4899999797344208
122,maml,1.403846025466919,0.4399999976158142
123,maml,1.4911409616470337,0.3700000047683716
124,maml,1.3226078748703003,0.3999999761581421
125,maml,1.1508679389953613,0.5199999809265137
126,maml,1.36189603805542,0.41999998688697815
127,maml,1.276242733001709,0.5199999809265137
128,maml,1.3693493604660034,0.41999998688697815
129,maml,1.3268418312072754,0.4999999701976776
130,maml,1.334773302078247,0.3999999761581421
131,maml,1.3435940742492676,0.4399999976158142
132,maml,1.2360429763793945,0.5699999928474426
133,maml,1.2823009490966797,0.5099999904632568
134,maml,1.2721219062805176,0.44999998807907104
135,maml,1.1706199645996094,0.47999998927116394
136,maml,1.3344569206237793,0.44999998807907104
137,maml,1.34195077419281,0.4300000071525574
138,maml,1.3308517932891846,0.5400000214576721
139,maml,1.314481496810913,0.4700000286102295
140,maml,1.3779222965240479,0.47999995946884155
141,maml,1.3335927724838257,0.4099999964237213
142,maml,1.3583347797393799,0.4099999964237213
143,maml,1.3664036989212036,0.3700000047683716
144,maml,1.3402812480926514,0.4300000071525574
145,maml,1.3647011518478394,0.37999996542930603
146,maml,1.1503275632858276,0.5700000524520874
147,maml,1.2727903127670288,0.5099999904632568
148,maml,1.2138175964355469,0.5199999809265137
149,maml,1.3910410404205322,0.4099999964237213
150,maml,1.2731722593307495,0.5299999713897705
151,maml,1.359338402748108,0.47999998927116394
152,maml,1.2790374755859375,0.5299999713897705
153,maml,1.3093388080596924,0.4599999785423279
154,maml,1.3259918689727783,0.3700000047683716
155,maml,1.3671884536743164,0.4100000262260437
156,maml,1.243379831314087,0.5199999809265137
157,maml,1.1469640731811523,0.5499999523162842
158,maml,1.37078857421875,0.3400000035762787
159,maml,1.2458416223526,0.5
160,maml,1.273464322090149,0.49000000953674316
161,maml,1.3730313777923584,0.4300000071525574
162,maml,1.1765625476837158,0.5900000333786011
163,maml,1.3983073234558105,0.38999998569488525
164,maml,1.2363107204437256,0.5
165,maml,1.305182695388794,0.4300000071525574
166,maml,1.1731163263320923,0.5699999928474426
167,maml,1.3238285779953003,0.3999999761581421
