method,algorithm,inner_update,inner_update_label,inner_steps,seed_count,mean_rmse,std_rmse,mean_mae,std_mae,mean_best_eval_mse_norm,std_best_eval_mse_norm,mean_time_per_step,std_time_per_step,mean_meta_loss,std_meta_loss
FO-MAML,maml,supervised,No semi-supervised,3,3,0.6330260589980021,0.0776158478911338,0.4229823882381121,0.045857939758039167,0.44667855091392994,0.10494163195142318,0.0289655646666263,0.0036614765896168695,0.7223027348518372,0.37091433021660086
FO-MAML,maml,semi-supervised,Semi-supervised,3,3,0.6332223193325577,0.07864183036501218,0.4234603417416413,0.04731591452755759,0.4470622330283125,0.10654095535407417,0.04510319011104807,0.0015361192686028328,0.7232562800248464,0.37429306460831785
Second-order MAML,maml,supervised,No semi-supervised,3,3,0.6357238176686272,0.07922080120662339,0.42302009016275405,0.05008864993256538,0.45062821799268327,0.10810479949904155,0.04987740622212483,0.0031502988013118057,0.7129970192909241,0.36697038225579526
Second-order MAML,maml,semi-supervised,Semi-supervised,3,3,0.6372980604664348,0.08039662951067669,0.4239998248716195,0.050643957820187664,0.4529691408077876,0.11029510104400854,0.08346787977756724,0.003668776678301123,0.7131618658701578,0.3682756978605681
Meta-SGD,meta-sgd,supervised,No semi-supervised,3,3,0.637544290476408,0.0721769024972989,0.4170181001226107,0.03777310995401713,0.45250417015825706,0.09596959521493195,0.05147500300003833,0.0042632712755662225,0.7117275893688202,0.37714956405426164
Meta-SGD,meta-sgd,semi-supervised,Semi-supervised,3,3,0.6380045162558584,0.07231547536095176,0.4181989473601182,0.03794695854522991,0.45316651475926245,0.09622056861394743,0.08601417333327437,0.009354424113781795,0.7126406828562418,0.37844772800200177
