seed,method,algorithm,create_graph,first_order,inner_update,inner_update_label,inner_steps,step,dataset,train_regions,eval_regions,feature_count,target,meta_batch,shots,queries,unlabeled_per_task,ssl_weight_used,outer_lr,inner_lr,support_loss,ssl_loss,inner_loss,meta_loss,eval_mse_norm,eval_rmse_norm,eval_mse_raw,eval_rmse_raw,eval_mae_raw,best_eval_mse_norm,grad_norm,elapsed_sec,avg_step_time_sec,cuda_peak_memory_mb,meta_lr_mean,meta_lr_min,meta_lr_max,meta_lr_nonpositive_count
28,Second-order MAML,maml,True,False,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.9678254220634699,0.0,0.9678254220634699,0.4786968231201172,0.5629830831661821,0.7503219863273247,0.5137981101870537,0.7167971192653146,0.4808329030871391,0.5629830831661821,0.2935038240086424,15.967394399922341,0.05322464799974114,,,,,
28,Second-order MAML,maml,True,False,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.9685023650527,0.9922685422934592,1.0677292179316282,0.47975820302963257,0.5689172489568591,0.7542660332779537,0.5192138204351068,0.7205649314496971,0.48247818276286125,0.5689172489568591,0.2966924811355263,24.35677370009944,0.08118924566699813,,,,,
28,FO-MAML,maml,False,True,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.9742290694266558,0.0,0.9742290694266558,0.48236483335494995,0.5532105738297105,0.7437812674635672,0.5048793844878674,0.7105486503314656,0.47588361948728564,0.5532105738297105,0.3679245829524276,7.428310099989176,0.024761033666630586,,,,,
28,FO-MAML,maml,False,True,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.9658835716545582,1.0024457899853587,1.0661281496286392,0.48313310742378235,0.5559898043051362,0.745647238515061,0.507415815256536,0.7123312538816025,0.4780701607465744,0.5559898043051362,0.3745079783261553,13.28628579992801,0.044287619333093366,,,,,
28,Meta-SGD,meta-sgd,True,False,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.9357308801263571,0.0,0.9357308801263571,0.47759661078453064,0.5292783315293491,0.7275151761505385,0.4830379874445498,0.6950093434224822,0.46052588894963264,0.5292783315293491,0.40877910126634687,16.766412800177932,0.055888042667259774,,0.021359944716095924,9.999999974752427e-07,0.15411169826984406,0
28,Meta-SGD,meta-sgd,True,False,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.9463289566338062,0.9815947846509516,1.0444884337484837,0.479084849357605,0.5300699591636657,0.728059035493459,0.48376043178141115,0.6955288863745425,0.46194186732172965,0.5300699591636657,0.4163373161308839,25.66553210001439,0.08555177366671463,,0.020454706624150276,9.999999974752427e-07,0.15023386478424072,0
42,Second-order MAML,maml,True,False,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.32500642724335194,0.0,0.32500642724335194,0.5243778824806213,0.3473452031612396,0.589359994537498,0.31191727295517924,0.5584955442572297,0.39265359863638877,0.3473452031612396,0.44794069853389573,14.091105100000277,0.04697035033333426,,,,,
42,Second-order MAML,maml,True,False,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.3200469072908163,0.48710934445261955,0.36875784024596214,0.5220178961753845,0.3493657488375902,0.5910716951754585,0.3137317541986704,0.5601176253240656,0.3946133114397526,0.3493657488375902,0.4166887388616841,24.454300599871203,0.08151433533290402,,,,,
42,FO-MAML,maml,False,True,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.3308274205774069,0.0,0.3308274205774069,0.5350261926651001,0.34340311847627164,0.5860060737537381,0.30837729200720787,0.555317289490619,0.3945204451680183,0.34340311847627164,0.5310711936658297,9.204995200037956,0.030683317333459855,,,,,
42,FO-MAML,maml,False,True,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.3269089851528406,0.48696841672062874,0.37560582906007767,0.5321090221405029,0.34308013431727885,0.5857304280275004,0.3080872390419245,0.5550560683768122,0.39469888880848886,0.34308013431727885,0.49687394139788876,14.0625255999621,0.046875085333207,,,,,
42,Meta-SGD,meta-sgd,True,False,supervised,No semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.0,0.001,0.01,0.30846663005650043,0.0,0.30846663005650043,0.5107855200767517,0.34491116981953385,0.5872913840841988,0.3097315153107047,0.5565352776875018,0.39259735941886903,0.34491116981953385,0.4667400382362896,14.213767800014466,0.04737922600004822,,0.020051373168826103,9.999999974752427e-07,0.15378165245056152,0
42,Meta-SGD,meta-sgd,True,False,semi-supervised,Semi-supervised,3,300,CSV:yellow_river_hydromlyr_model_ready.csv,33,11,16,q,8,8,16,16,0.1,0.001,0.01,0.30819244869053364,0.48712461814284325,0.35690491273999214,0.5095570087432861,0.3452684607356787,0.5875954907380405,0.31005236506462097,0.5568234595135346,0.3941162936389446,0.3452684607356787,0.44677114075659846,23.069857300026342,0.07689952433342113,,0.018743081018328667,9.999999974752427e-07,0.15045082569122314,0
