episode,method,train_query_loss,train_query_accuracy
1,meta_l2,1.609589695930481,0.20000000298023224
2,meta_l2,1.6101300716400146,0.20000000298023224
3,meta_l2,1.6093086004257202,0.20000000298023224
4,meta_l2,1.607374668121338,0.20000000298023224
5,meta_l2,1.6089494228363037,0.20000000298023224
6,meta_l2,1.6089876890182495,0.20000000298023224
7,meta_l2,1.608162522315979,0.20000000298023224
8,meta_l2,1.6079118251800537,0.2199999988079071
9,meta_l2,1.606982707977295,0.23000000417232513
10,meta_l2,1.6083240509033203,0.17999999225139618
11,meta_l2,1.6076734066009521,0.2199999988079071
12,meta_l2,1.6065526008605957,0.25
13,meta_l2,1.6054636240005493,0.20000000298023224
14,meta_l2,1.6041382551193237,0.27000001072883606
15,meta_l2,1.6050307750701904,0.1599999964237213
16,meta_l2,1.6006053686141968,0.26999998092651367
17,meta_l2,1.5966825485229492,0.20000000298023224
18,meta_l2,1.5969727039337158,0.2600000202655792
19,meta_l2,1.6015174388885498,0.23000000417232513
20,meta_l2,1.5986133813858032,0.23999999463558197
21,meta_l2,1.597583293914795,0.19999998807907104
22,meta_l2,1.5963735580444336,0.2199999988079071
23,meta_l2,1.5862339735031128,0.3499999940395355
24,meta_l2,1.5914541482925415,0.24000000953674316
25,meta_l2,1.5966297388076782,0.22999998927116394
26,meta_l2,1.5732018947601318,0.30000001192092896
27,meta_l2,1.5919241905212402,0.2900000214576721
28,meta_l2,1.5763447284698486,0.21000000834465027
29,meta_l2,1.5816075801849365,0.1899999976158142
30,meta_l2,1.586101770401001,0.26999998092651367
31,meta_l2,1.5711009502410889,0.30000001192092896
32,meta_l2,1.5702884197235107,0.28999999165534973
33,meta_l2,1.5756793022155762,0.2900000214576721
34,meta_l2,1.5692659616470337,0.2900000214576721
35,meta_l2,1.5624829530715942,0.36000001430511475
36,meta_l2,1.5556509494781494,0.20000000298023224
37,meta_l2,1.5686514377593994,0.2199999988079071
38,meta_l2,1.5451825857162476,0.25
39,meta_l2,1.5391302108764648,0.2600000202655792
40,meta_l2,1.5411460399627686,0.25999999046325684
41,meta_l2,1.5879254341125488,0.27000001072883606
42,meta_l2,1.5458320379257202,0.26999998092651367
43,meta_l2,1.5434554815292358,0.30000001192092896
44,meta_l2,1.5436546802520752,0.25999999046325684
45,meta_l2,1.526684284210205,0.3199999928474426
46,meta_l2,1.5505261421203613,0.2900000214576721
47,meta_l2,1.5223724842071533,0.2900000214576721
48,meta_l2,1.4998137950897217,0.25999999046325684
49,meta_l2,1.5145189762115479,0.2900000214576721
50,meta_l2,1.5034270286560059,0.3199999928474426
51,meta_l2,1.5077910423278809,0.23000000417232513
52,meta_l2,1.5341796875,0.3400000035762787
53,meta_l2,1.5614547729492188,0.2800000011920929
54,meta_l2,1.4807339906692505,0.3500000238418579
55,meta_l2,1.4842954874038696,0.36000001430511475
56,meta_l2,1.5056382417678833,0.2800000011920929
57,meta_l2,1.5248173475265503,0.2800000011920929
58,meta_l2,1.4877537488937378,0.25
59,meta_l2,1.5299227237701416,0.20000000298023224
60,meta_l2,1.4398431777954102,0.3199999928474426
61,meta_l2,1.4268747568130493,0.30000001192092896
62,meta_l2,1.5072221755981445,0.30000001192092896
63,meta_l2,1.474539041519165,0.4000000059604645
64,meta_l2,1.437894582748413,0.39000001549720764
65,meta_l2,1.5264395475387573,0.27000001072883606
66,meta_l2,1.5038056373596191,0.2800000011920929
67,meta_l2,1.5076448917388916,0.27000001072883606
68,meta_l2,1.4693299531936646,0.2800000011920929
69,meta_l2,1.4775643348693848,0.3400000035762787
70,meta_l2,1.4627127647399902,0.28999999165534973
71,meta_l2,1.441338062286377,0.3799999952316284
72,meta_l2,1.4749326705932617,0.39000001549720764
73,meta_l2,1.455544114112854,0.3700000047683716
74,meta_l2,1.535255789756775,0.2199999988079071
75,meta_l2,1.4657151699066162,0.3100000023841858
76,meta_l2,1.5492048263549805,0.3400000035762787
77,meta_l2,1.4544081687927246,0.3999999761581421
78,meta_l2,1.5115429162979126,0.3100000023841858
79,meta_l2,1.435458779335022,0.4700000286102295
80,meta_l2,1.4806252717971802,0.28999999165534973
81,meta_l2,1.4904229640960693,0.28999999165534973
82,meta_l2,1.3819645643234253,0.4599999785423279
83,meta_l2,1.4558699131011963,0.45000001788139343
84,meta_l2,1.4485219717025757,0.36000001430511475
85,meta_l2,1.3801336288452148,0.3499999940395355
86,meta_l2,1.4418021440505981,0.4100000262260437
87,meta_l2,1.4943640232086182,0.3400000035762787
88,meta_l2,1.5334863662719727,0.28999999165534973
89,meta_l2,1.5180845260620117,0.3199999928474426
90,meta_l2,1.4573850631713867,0.4099999964237213
91,meta_l2,1.454179048538208,0.3799999952316284
92,meta_l2,1.3591101169586182,0.44999998807907104
93,meta_l2,1.4182759523391724,0.33000001311302185
94,meta_l2,1.4726641178131104,0.4000000059604645
95,meta_l2,1.38631272315979,0.42000001668930054
96,meta_l2,1.473712682723999,0.36000001430511475
97,meta_l2,1.5111433267593384,0.3700000047683716
98,meta_l2,1.3843635320663452,0.44999998807907104
99,meta_l2,1.4042439460754395,0.4100000262260437
100,meta_l2,1.417162299156189,0.4099999964237213
101,meta_l2,1.5036633014678955,0.4000000059604645
102,meta_l2,1.3594573736190796,0.49000000953674316
103,meta_l2,1.4989492893218994,0.3399999737739563
104,meta_l2,1.2904257774353027,0.48000001907348633
105,meta_l2,1.390787959098816,0.4300000071525574
106,meta_l2,1.3574212789535522,0.47999998927116394
107,meta_l2,1.395043134689331,0.3999999761581421
108,meta_l2,1.3936245441436768,0.38999998569488525
109,meta_l2,1.4960618019104004,0.3499999940395355
110,meta_l2,1.4504867792129517,0.36000001430511475
111,meta_l2,1.4690076112747192,0.3400000035762787
112,meta_l2,1.4549912214279175,0.4100000262260437
113,meta_l2,1.3815213441848755,0.3799999952316284
114,meta_l2,1.5029150247573853,0.3499999940395355
115,meta_l2,1.4831886291503906,0.28999999165534973
116,meta_l2,1.4054961204528809,0.36000001430511475
117,meta_l2,1.4650408029556274,0.42000001668930054
118,meta_l2,1.3581708669662476,0.47999998927116394
119,meta_l2,1.2960779666900635,0.4099999964237213
120,meta_l2,1.4154775142669678,0.3799999952316284
121,meta_l2,1.3788793087005615,0.38999998569488525
122,meta_l2,1.296273946762085,0.48000001907348633
123,meta_l2,1.4513428211212158,0.35999998450279236
124,meta_l2,1.3013956546783447,0.47999995946884155
125,meta_l2,1.3823373317718506,0.4399999976158142
126,meta_l2,1.4051284790039062,0.3999999761581421
127,meta_l2,1.3212358951568604,0.44999998807907104
128,meta_l2,1.436382532119751,0.35999998450279236
129,meta_l2,1.4778645038604736,0.3400000035762787
130,meta_l2,1.232318639755249,0.5699999928474426
131,meta_l2,1.4784175157546997,0.32999998331069946
132,meta_l2,1.1589579582214355,0.5400000214576721
133,meta_l2,1.307725191116333,0.5899999737739563
134,meta_l2,1.1652944087982178,0.46000000834465027
135,meta_l2,1.4664287567138672,0.35999998450279236
136,meta_l2,1.2405105829238892,0.47999998927116394
137,meta_l2,1.345916509628296,0.4699999988079071
138,meta_l2,1.3039741516113281,0.48000001907348633
139,meta_l2,1.260488510131836,0.48000001907348633
