method,kind,parameter,mean,std,min,max
meta_l2,l2_coefficient,features.0.weight,7.831479888409376e-05,0.0,7.831479888409376e-05,7.831479888409376e-05
meta_l2,l2_coefficient,features.3.weight,9.633358422433957e-05,0.0,9.633358422433957e-05,9.633358422433957e-05
meta_l2,l2_coefficient,features.6.weight,9.611803398001939e-05,0.0,9.611803398001939e-05,9.611803398001939e-05
meta_l2,l2_coefficient,features.9.weight,9.592372225597501e-05,0.0,9.592372225597501e-05,9.592372225597501e-05
meta_l2,l2_coefficient,classifier.weight,7.878815085859969e-05,0.0,7.878815085859969e-05,7.878815085859969e-05
