region_id,date,is_natural,q,pre_sum_7d,evp_sum_7d,ssd_sum_7d,tem_mean_mean_7d,gst_mean_mean_7d,prs_mean_mean_7d,rhu_mean_7d,win_mean_mean_7d,pre_sum_14d,evp_sum_14d,ssd_sum_14d,tem_mean_mean_14d,gst_mean_mean_14d,prs_mean_mean_14d,rhu_mean_14d,win_mean_mean_14d
6,2017-11-12,True,-0.1928249909009081,0.0002738642506016,14.354368400573732,48.18251037597656,0.703502873011999,1.1167977741786437,870.7404715401786,4.282569885253906,3.9090563092912944,0.0002738642506087,31.346210765838627,106.84004974365234,1.7612552915300643,2.270490513529097,872.2954938616073,4.210198593139649,3.4832378864288325
6,2017-11-19,True,-0.1929195962612416,0.0,8.75283908843994,57.17539291381836,-7.6679261343819745,-6.708771623883927,873.24990234375,3.398432731628418,3.009200314113072,0.0002738642506087,23.10720748901367,105.35790328979492,-3.482211630684989,-2.7959869248526426,871.9951869419643,3.840501308441162,3.4591283117021834
6,2017-11-26,True,-0.1934162744029929,0.0605513593996589,7.850739526748658,46.25828800201416,-6.752760587419782,-7.587545285906108,871.5456194196429,4.87455199105399,3.793766784667969,0.060551359399666,16.6035786151886,103.43368091583253,-7.21034336090088,-7.148158454895018,872.3977608816964,4.136492361341204,3.40148354939052
6,2017-12-03,True,-0.1915714698764881,0.0,7.266394138336182,49.98308563232422,-9.116990593501498,-9.65917145865304,873.0751534598214,4.026841190883093,3.056765556335449,0.060551359399666,15.11713366508484,96.24137363433836,-7.934875590460641,-8.623358372279574,872.3103864397323,4.450696590968541,3.425266170501709
6,2017-12-10,True,-0.1929905502814918,0.0,5.956328535079957,53.93205146789551,-9.401625061035157,-10.7031502859933,873.5637555803571,4.252195085797991,3.1372550691877086,0.0,13.22272267341614,103.91513710021972,-9.259307827268328,-10.181160872323172,873.3194545200894,4.1395181383405415,3.097010312761579
6,2017-12-17,True,-0.1933453203827427,0.0833494726568174,4.400274467468262,47.33514556884766,-9.782266780308314,-10.338961465018134,875.6949776785714,4.341586467197963,2.9395983968462263,0.0833494726568245,10.356603002548216,101.26719703674316,-9.591945920671735,-10.52105587550572,874.6293666294642,4.296890776497977,3.038426733016968
6,2017-12-24,True,-0.1954739409902482,0.1669235030188871,5.952076148986817,50.81654243469238,-8.0671087537493,-9.892191423688615,875.4787946428571,4.816643469674247,3.1304747172764364,0.2502729756757402,10.352350616455078,98.15168800354004,-8.924687767028809,-10.115576444353374,875.5868861607142,4.579114968436104,3.035036557061332
6,2017-12-31,True,-0.1976025615977537,2.3806141484783442e-07,6.279977941513062,45.415524864196776,-7.725701413835796,-9.65999537876674,872.3848911830357,4.173595482962473,2.7096248354230608,0.1669237410803375,12.23205409049988,96.23206729888916,-7.89640508379255,-9.776093401227678,873.9318429129464,4.49511947631836,2.920049776349749
6,2018-01-07,True,-0.1984540098407558,3.4890020807622646,2.645177698135376,39.01047259335901,-14.030699375697544,-13.375483049665178,874.5684988839286,4.959454672677176,2.111832700456892,3.489002318823715,8.925155639648438,84.42599745755578,-10.87820039476667,-11.51773921421596,873.4766950334822,4.566525077819824,2.4107287679399763
6,2018-01-14,True,-0.1984540098407558,0.3323355601047012,3.0048199653625485,48.35507583618164,-13.010035814557757,-12.220222364153177,871.7016322544642,6.224384743826731,3.415233748299735,3.821337640867001,5.649997663497924,87.36554842954064,-13.520367595127652,-12.79785270690918,873.1350655691965,5.591919708251953,2.763533224378313
