method,test_accuracy_mean,test_accuracy_ci95,test_loss_mean
maml,0.645800000205636,0.01985557621832757,0.8996908229589462
meta_sgd,0.6728000006079674,0.01886943805367859,0.8344377166032791
fixed_l2,0.6566000002622604,0.018543480071324416,0.8771238642930984
meta_l2,0.6554000040888787,0.01874558992702958,0.864659823179245
